title,text,label
Fake cure claim,Government has approved a miracle cure that works in 2 days without clinical trials,0
Celebrity hoax,Famous actor declared alive after being reported dead officially,0
Election fraud,Millions of fake votes added overnight using hacked machines,0
Fake job alert,Company offering jobs without interview asking registration fee,0
Health misinformation,Drinking hot water cures all diseases experts say,0
Crypto scam,Cryptocurrency guarantees 500 percent return in one week,0
Fake exam news,Board exams cancelled permanently students promoted,0
Fake disaster,Meteor will hit earth tonight government hiding truth,0
Fake banking alert,Bank account blocked click link to verify immediately,0
Fake tech news,Mobile phones explode if charged overnight scientists warn,0
Fake govt scheme,Government giving 5 lakh to every citizen register now,0
Fake pandemic news,Virus spreads through mobile signals experts confirm,0
Fake paper leak,Question paper leaked on WhatsApp join group now,0
Fake celebrity arrest,Popular singer arrested for secret crime leaked,0
Fake farming advice,Crops grow double if watered with salt solution,0
Fake stock tip,Stock will double tomorrow guaranteed insiders say,0
Fake ration news,Ration free forever from next month government order,0
Fake education alert,University degree not required for jobs now fake notice,0
Fake travel warning,Flights banned permanently starting tonight rumors say,0
Fake AI threat,AI will control humans by next year leaked report,0
Fake weather news,Snowfall expected in desert regions tomorrow,0
Fake tax news,Income tax cancelled for middle class permanently,0
Fake currency news,New notes invalid from tonight exchange immediately,0
Fake phone scam,OTP shared once gives lifetime rewards fake message,0
Fake loan offer,Instant loan without documents approved in 2 minutes,0
Fake police notice,Police asking fines via WhatsApp link,0
Fake medical advice,Eating raw garlic cures cancer fully,0
Fake job exam news,Government exams postponed for 5 years officially fake,0
Fake space news,Aliens contacted earth government hiding truth,0
Fake fuel news,Petrol will be free next month government order,0
Fake education policy,Schools closed permanently after new policy,0
Fake transport news,All trains cancelled from tomorrow fake circular,0
Fake army news,Army recruitment without fitness test announced fake,0
Fake scholarship,Scholarship for everyone without criteria register now,0
Fake election result,Party wins election before counting fake result,0
Fake banking offer,Bank doubling savings automatically fake claim,0
Fake vaccine news,Vaccine causes magnetism fake viral claim,0
Fake internet shutdown,Internet banned permanently starting midnight,0
Fake tech ban,All social media banned from tomorrow fake notice,0
Fake power cut,Electricity free forever from today fake message,0
Fake gold scheme,Government giving free gold register today,0
Fake mobile recharge,Free unlimited recharge by clicking link,0
Fake court order,High court bans exams fake circular,0
Fake food scare,Rice causes instant illness fake warning,0
Fake water alert,Tap water poisonous tonight fake message,0
Fake gas leak,Gas cylinders exploding nationwide fake rumor,0
Fake tsunami alert,Tsunami warning issued fake viral audio,0
Fake salary hike,All govt employees salary doubled fake news,0
Fake loan waiver,All loans waived instantly fake message,0
Fake bank merger,Banks shutting down tomorrow fake alert,0
Fake school exam leak,Exam answers leaked on Telegram fake claim,0
Fake phone tracking,Phones tracking users illegally fake rumor,0
